Material,Substitutions,Tc (K),Pressure (GPa),Classes,Shape,Substrate,DOI
Bi 0.055 Sn 0.945,{},3.94,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pa,{},0.61,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ni 1.9 Mn 0.1 B 2 C,{},12.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 3 Li 0.02 O 7,{},91.18,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mg 1.2 C 1.44 B 0.16 Ni 3,{},6.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 4 Sr 3 Ca 1.6 Y 1.4 Cu 4 O 16,{},79.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 4 Rh,{},1.966666667,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 1.86 La 0.14 Cu 3 O 6.98,{},89.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pd 2.2 S,{},1.63,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ge V 3,{},6.86,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Sr 2 Cu 2.8 W 0.2 O 6.9,{},45.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 2 Sr 1.8 Y 0.1 Ca 1.1 Cu 2 O 8.23,{},93.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.8 V 0.2,{},5.76,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Fe 1.03 Te 0.7 Se 0.3,{},12.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ge 7 Ir 3,{},0.87,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba 0.51 K 0.49 Bi O 2.974,{},22.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Yb Ba 2 Cu 2.982 Zn 0.018 O 6.9,{},85.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Fe 0.2 Ni 0.8 Zr 2,{},2.13,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 2.1 Sr 1.8 Ca Cu 1.982 Zn 0.018 O 8,{},83.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Ba 2 Cu 2.9 O 6.82,{},45.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Rh 45 Ta 55,{},3.37,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 4 O 7.8,{},77.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
As Nb 3,{},2.353333333,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.5 Th 0.5 Sn 3,{},4.67,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.65 Sm 0.15 Sr 0.2 Cu O 4,{},24.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pb 0.333 Sn 0.618 In 0.05 Te,{},1.61,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Fe As H 0.3 O 0.7,{},38.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er 0.88 Ca 0.12 Ba 2 Cu 2.82 Co 0.18 O 6.93,{},77.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Fe 1.84 Co 0.13 Mn 0.03 As 2,{},8.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 7 Ru 3,{},1.835,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ir 0.125 Rh 0.125 Zr 0.75,{},10.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Al 0.999 Fe 0.001,{},1.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba 0.542 K 0.458 Bi O 3,{},23.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.6 Lu 0.4 Ir 4 B 4,{},3.06,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sr 0.66 Eu 0.34 Fe 1.76 Co 0.24 As 2,{},9.82,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.9 Pr 0.1 Ni 2 B 2 C,{},11.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Au 0.93 In 0.07,{},0.0164,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Co 7 Y 9,{},2.85,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Ru 4 Sb 12,{},3.293333333,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Al 0.25 Fe 0.75 Se 0.85,{},8.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pd 2 Y 0.25 Tm 0.75 Sn,{},3.06,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mg 0.9 Zn 0.1 B 2,{},38.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 2.85 Hf 0.15 Al,{},14.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.9 Ru 0.1,{},2.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca 0.67 Pt 3 B 2,{},1.57,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Fe 1.894 Pd 0.106 As 2,{},13.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er Ba 2 Cu 2.78 Zn 0.18 Fe 0.03 O 6.93,{},46.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Au 0.635 Ge 0.205 Yb 0.16,{},0.325,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Fe 0.5 Ba 2 Eu Cu 2.5 O 7.51,{},60.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pt V 3.5,{},1.26,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sm 1.5 Ce 0.5 Sr 2 Cu 2 Nb O 10,{},25.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sr 0.75 Y 0.25 Cu O 2,{},38.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pb 0.93 Tl 0.075,{},6.98,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Fe 0.985 Ru 0.015 As F 0.11 O 0.89,{},27.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 2 Sr 2 Ca Cu 2 O 8.213,{},70.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu 0.025 V 0.975,{},4.45,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ir Mo,{},5.325,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Fe As F 0.18 O 0.82,{},14.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pr Fe 0.9 Co 0.1 As 0.95 P 0.05 O,{},14.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Th Ni 2 B 2 C,{},6.966666667,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Os 2 Ru 2 P 12,{},7.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Lu Ni 1.93 Co 0.14 B 2 C,{},10.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er 0.25 Ho 0.75 Rh 4 B 4,{},6.44,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 2.7 Ti 0.3 Sn,{},16.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 1.7 Pb 0.3 Sr 2 Ca 0.98 Nd 0.02 Cu 2 O 8.05,{},80.89,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cd 0.01 In 0.99,{},3.3445,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Li 0.28 Zr N Cl,{},13.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.8 Ca 0.2 Ba 2 Cu 2.8 Zn 0.2 O 6.74,{},44.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 3.99 Zn 0.01 O 8,{},73.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
U 0.962 Th 0.038 Be 13,{},0.557,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Ti 2 Sb 1.6 Sn 0.4 O,{},2.31,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.4 Ti 0.4 V 0.2,{},7.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 3 Te 4,{},4.0275,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Fe 2 As 2 Sr 4 V 2 O 6,{},27.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Gd 0.002 Th 0.998,{},0.714,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.4 Zr 0.6,{},8.86,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Fe 2 As 2 Sr 4 Mg 0.6 Ti 1.4 O 6,{},29.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ir 0.99 V 0.01,{},0.11,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mg 0.79 Al 0.21 B 2,{},27.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu 0.06 Ta S 2,{},4.16,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Ni Ga 2,{},1.97,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 2.985 Hf 0.015 Al,{},18.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca Ba La Cu 3 O 6.97,{},64.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 2 I 0.6 Br 1.4 C 2,{},6.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Au 0.3 Te 0.7,{},1.99,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ho 0.5 Dy 0.5 Ni 2 B 2 C,{},5.905,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Dy Ba 2 Cu 3 O 6.68,{},90.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ir 0.66 Mo 0.34,{},0.25,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er Ba 2.03 Cu 3.05 O 7,{},90.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Si 10.9 V 3 C 0.1,{},16.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 25 Ti 75,{},7.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Rh W,{},3.37,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca 0.2 Ba 1.55 La 1.25 Cu 3 O 6.98,{},10.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Dy 0.9 Tm 0.1 Ni 2 B 2 C,{},4.55,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu Th 2,{},3.465,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 1.25 Sr 0.75 Cu 3 O 6.928,{},85.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er 0.9 Gd 0.1 Rh 4 B 4,{},6.88,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 2.7 Ni 0.3 O 6.9,{},46.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
In 1.015 Te,{},3.51,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Dy Ba 2 Cu 2.7 Ga 0.3 O 6.77,{},39.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pd 0.7 Se 0.3,{},2.04,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu 0.81 Ge 0.19,{},0.24,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ga Mo 3,{},0.76,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Hg Ba 2 Cu 0.97 Zn 0.03 O 4.052,{},69.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Re 0.1 Ba 2 Cu 2.9 O 7,{},91.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
V 0.75 Ge 0.2 Al 0.05,{},10.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
V 2 Hf 0.84 Nb 0.16,{},10.67,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ge 1.85 La,{},2.17,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.72 Pd 0.18 W 0.1,{},1.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 2 Cu 0.98 Zn 0.02 O 4.099,{},19.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.05 Ce 0.95 Ru 2,{},7.181,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Lu 4.5 Sc 0.5 Ir 4 Si 10,{},6.06,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 2 Cu O 4.047,{},29.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Sn 3,{},6.358285714,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pd Sn 2,{},3.34,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca Fe 2.94 Co 0.06 As 2,{},17.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
B 2.4 Nb,{},9.96,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Ni 2 Ge 0.8 P 1.2,{},1.38,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 2 Sr 1.6 Ca 1.2 Y 0.2 Cu 2 O 8.26,{},89.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mo 64 Ru 16 P 20,{},7.31,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Zr 70.2 Ti 7.8 Ni 22,{},3.32,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
K 0.27 O 3 W,{},0.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 2.7 Co 0.3 O 6.93,{},16.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mo 1.935 Zr 0.065 B C,{},6.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tl 0.5 Pb 0.5 Sr 4 Cu 2 C 0.9 N 0.1 O 7,{},76.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.8 Hf 0.2 Bi S 2 O,{},2.36,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ta 0.05 V 0.095,{},4.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu O 8,{},82.25,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ru Sr 2 Gd 0.91 Nd 0.09 Cu 2 O 8,{},23.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 0.16 Pb 0.35 V 0.05 Sr 2 Ca 2 Cu 3 O 10.12,{},103.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.6 Y 0.4,{},1.29,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tl 1.8 Ba 2 Ca 2.2 Cu 3 O 9.92,{},112.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ru 0.9 Sr 2 Er Cu 2 O 7.8,{},23.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
C S,{},9.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
