Material,Substitutions,Tc (K),Pressure (GPa),Classes,Shape,Substrate,DOI
La Fe As O,{},28.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1103/physrevlett.101.217002
Nb,{},9.1,0.0,['Alloys'],Bulk,,10.1109/lmag.2019.2955419
Ta 4 Pd 3 Te 16,{},4.6,0.0,['Chalcogenides'],,,10.1088/1361-648x/aaa3b6
Li 2 Ni 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Li 2 Ru 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Li 2 Rh 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Li 2 Re 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Li 2 Ag 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Li 2 Ni 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Li 2 Ru 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Li 2 Rh 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Li 2 Re 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Li 2 Ag 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Li 2 S 3 B,{},1.8,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Re 3 B,{},4.65,0.0,"['Alloys', 'Borides']",,,10.1016/j.physc.2007.03.163
Mg C 1-x Ni 3,{'x': [0.04]},7.0,0.0,['Alloys'],,,10.1103/physrevb.66.172507
La 2-x Sr x Cu O 4,{'x': [0.17]},38.0,0.0,"['Oxides', 'Cuprates']",,,nan
Bi 2 Sr 2 Ca Cu 2 O 8,{},100.0,0.0,[],,,nan
Bi 2 Sr 2 Ca Cu 2 O 8,{},100.0,0.0,[],,,nan
K Fe 2 Se 2,{},40.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,nan
Ba 0.5 Fe 2 Se 2,{},4.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,nan
K Fe 2 Se 2,{},30.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,nan
Ce In 3,{},0.15,0.0,['Alloys'],,,10.1103/physrevb.65.020504
Mg B 2,{},40.0,0.0,"['Alloys', 'Borides']",,,10.1088/0953-2048/17/4/007
Mg C 1-x Ni 3,{'x': []},7.0,0.0,['Carbides'],,,10.1088/0953-2048/17/4/007
(Tl K) y Fe 2-x Se 2,"{'x': [], 'y': []}",30.0,0.0,['Alloys'],,,10.1103/physrevlett.107.056401
Y Ba 2 Cu 3 O 6.98,{},88.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/nature12165
Y Ba 2 Cu 3 O 6.6,{},61.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/nature12165
Nb Se 2,{},7.0,0.0,['Chalcogenides'],,,10.1103/physrevb.90.224515
H 3 Se,{},112.0,0.0,"['Hydrides', 'Chalcogenides']",,,10.1016/j.jpcs.2019.109315
H 3 Br,{},98.0,0.0,"['Hydrides', 'Alloys']",,,10.1016/j.jpcs.2019.109315
H 3 Br,{},100.0,0.0,"['Hydrides', 'Alloys']",,,10.1016/j.jpcs.2019.109315
H 3 Br,{},150.0,170.0,"['Hydrides', 'Alloys']",,,10.1016/j.jpcs.2019.109315
H 3 Br,{},150.0,170.0,"['Hydrides', 'Alloys']",,,10.1016/j.jpcs.2019.109315
Nb N,{},10.0,0.0,['Nitrides'],,,nan
Pr Os 4 Sb 12,{},1.85,0.0,['Alloys'],,,nan
Ba 1-x (K Na) x Fe 2 As 2,{'x': []},55.0,0.0,['Alloys'],,,10.1103/physrevb.78.212509
Sr 1-x (K Na) x Fe 2 As 2,{'x': []},55.0,0.0,['Alloys'],,,10.1103/physrevb.78.212509
Eu 1-x (K Na) x Fe 2 As 2,{'x': []},55.0,0.0,['Alloys'],,,10.1103/physrevb.78.212509
Ca 1-x (K Na) x Fe 2 As 2,{'x': []},55.0,0.0,['Alloys'],,,10.1103/physrevb.78.212509
La Fe As O 1-x F x,{'x': []},26.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1103/physrevb.97.060506
Fe Se,{},10.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1038/srep16385
Fe Se,{},100.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",monolayer,,10.1038/srep16385
Rb Fe 2 As 2,{},36.5,0.0,"['Iron-pnictides', 'Pnictides']",,,nan
Rb Eu Fe 4 As 4,{},36.5,0.0,"['Iron-pnictides', 'Pnictides']",,,nan
Rb Eu Fe 4 As 4,{},36.5,0.0,"['Iron-pnictides', 'Pnictides']",,,nan
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1016/s0921-4534(02)01417-x
Dy Mo 6 S 8,{},1.6,0.0,['Chalcogenides'],,,10.1002/chin.200313205
Ho Fe As O 1-y,{'y': []},49.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1209/0295-5075/92/57011
Ho Fe As O 1-y,{'y': []},49.1,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1209/0295-5075/92/57011
Ho Fe As O 1-y,{'y': []},49.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1209/0295-5075/92/57011
La Ni P O,{},3.0,0.0,"['Oxides', 'Pnictides']",,,10.1143/jpsj.78.033706
Ba Ni 2 P 2,{},3.0,1.0,['Pnictides'],single crystals,,10.1143/jpsj.78.033706
La Fe P O,{},4.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1143/jpsj.78.033706
Li Fe As,{},18.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1143/jpsj.78.033706
Ba Ni 2 P 2,{},3.0,1.0,['Pnictides'],,,10.1143/jpsj.78.033706
(Ba 1-x K x) Fe 2 As 2,{'x': []},38.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1143/jpsj.78.033706
Fe Se,{},8.0,0.0,[],,,10.1143/jpsj.78.033706
La Fe As O 1-x F x,{'x': []},26.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1143/jpsj.78.033706
Eu B 6,{},15.3,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.64.174412
Eu B 6,{},15.4,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.64.174412
Eu B 6,{},65.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.64.174412
Eu B 6,{},12.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.64.174412
Eu B 6,{},15.3,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.64.174412
Eu B 6,{},12.5,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.64.174412
Eu B 6,{},12.0,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.64.174412
Eu Fe 2 As 2,{},19.6,0.0,"['Iron-pnictides', 'Pnictides']",crystals,,10.1103/physrevb.95.174522
Eu Fe 2 As 2,{},19.6,0.0,"['Iron-pnictides', 'Pnictides']",crystals,,10.1103/physrevb.95.174522
Eu (Fe 0.91 Ir 0.09) 2 As 2,{},21.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.95.174522
Eu (Fe 0.93 Rh 0.07) 2 As 2,{},19.6,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.95.174522
La Fe As O,{},26.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1103/physrevb.95.174522
La Fe As O 0.89 F 0.11,{},28.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1088/0031-8949/88/06/068504
La Fe As O 0.89 F 0.11,{},28.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",polycrystalline,,10.1088/0031-8949/88/06/068504
Ba 1-x K x Fe 2 As 2,{'x': []},32.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.79.224503
Sr 1-x Sm x Fe As F 9,{'x': []},56.0,0.0,"['Iron-pnictides', 'Pnictides', 'Fluorides']",,,10.1103/physrevb.79.224503
Ba 1-x K x Fe 2 As 2,{'x': []},32.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.79.224503
Ba 1-x K Fe 2 As 2,{'x': []},38.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.79.224503
Ca 10 (Pt 4-δ As 8) ((Fe 0.97 Pt 0.03) 2 As 2) 5,{'δ': [0.246]},26.5,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.85.100502
Ca 10 (Pt n As 8) (Fe 2 As 2) 5,{'n': []},38.0,0.0,['Alloys'],,,10.1103/physrevb.85.100502
La In 3,{},0.7,0.0,['Alloys'],,,10.1088/0953-8984/23/45/455701
La Sn 3,{},6.4,0.0,['Alloys'],,,10.1088/0953-8984/23/45/455701
Mo 8 Ga 41,{},10.0,0.0,['Alloys'],,,10.1103/physrevb.99.054503
Mo 8 Ga 41,{},10.0,0.0,['Alloys'],,,10.1103/physrevb.99.054503
Ce Co In 5,{},2.3,0.0,['Alloys'],,,10.1103/physrevb.96.060507
Nb Ti N,{},15.0,0.0,['Nitrides'],,,10.1007/s10909-019-02295-3
Nb Ti N,{},15.0,0.0,['Nitrides'],,,10.1007/s10909-019-02295-3
Fe Se,{},58.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1088/1361-6668/aaa501
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1038/35066528
Mg B 2,{},38.0,0.0,"['Alloys', 'Borides']",,,10.1038/35066528
Ba Sn 3,{},4.4,0.0,['Alloys'],,,10.1088/1367-2630/15/2/023004
Ba Sn 3,{},4.4,0.0,['Alloys'],,,10.1088/1367-2630/15/2/023004
La Fe As O,{},26.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1103/physrevb.96.104511
Sr Fe As F,{},56.0,0.0,"['Iron-pnictides', 'Pnictides', 'Fluorides']",,,nan
Li Fe As,{},17.5,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.101.100507
Pb Ta Se 2,{},3.8,0.0,['Chalcogenides'],,,10.1103/physrevb.101.100507
Lu Ni 2 B 2 C,{},10.0,0.0,"['Carbides', 'Borides']",,,10.1016/j.physc.2007.03.166
La Rh Si 3,{},2.16,0.0,['Alloys'],,,10.1103/physrevb.83.064522
Mg B 2 Sn S,{},34.5,0.0,"['Chalcogenides', 'Borides']",,,10.1016/j.ssc.2003.09.024
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1016/j.ssc.2003.09.024
Ba Bi O 3,{},30.0,0.0,['Oxides'],,,10.1103/physrevlett.117.037002
Ba 1-x K x Bi O 3,{'x': []},32.0,0.0,['Oxides'],,,10.1103/physrevlett.117.037002
Ca 10 (Pt 3 As 8) (Fe 2 As 2) 5,{},8.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.85.094510
Nb,{},5.9,0.0,[],,,10.1103/physrevlett.95.147003
Nb,{},9.2,0.0,['Alloys'],films,,10.1103/physrevlett.95.147003
Mo 3 Al 2 C,{},9.2,0.0,['Carbides'],polycrystalline,,10.1103/physrevb.82.064512
Mo 3 Al 2 C,{},10.0,0.0,['Carbides'],,,10.1103/physrevb.82.064512
Mo 3 Al 2 C,{},9.2,0.0,['Carbides'],,,10.1103/physrevb.82.064512
Mo 3 Al 2 C,{},9.2,0.0,['Carbides'],,,10.1103/physrevb.82.064512
Y 0.78 Ca 0.22 Ba 2 Cu 3 O 6.5,{},59.0,0.0,"['Oxides', 'Cuprates']",,,nan
Y 1-z Ca z Ba 2 Cu 3 O 6.0,{'z': []},30.0,0.0,"['Oxides', 'Cuprates']",,,nan
Y Ba 2 Cu 3 O 6.67,{},67.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/ncomms11494
U Te 2,{},1.6,0.0,['Chalcogenides'],,,nan
Ce Co Ge 3,{},0.7,5.4,['Alloys'],,,10.1103/physrevb.97.184422
Ce Rh Si 3,{},1.0,0.0,['Alloys'],,,10.1103/physrevb.97.184422
Ce Ir Si 3,{},1.6,2.5,['Alloys'],,,10.1103/physrevb.97.184422
Ce Ir Ge 3,{},1.5,20.0,['Alloys'],,,10.1103/physrevb.97.184422
Ce Ir Ge 3,{},1.5,20.0,['Alloys'],,,10.1103/physrevb.97.184422
La 2-x Sr x Cu O 4,{'x': []},40.0,0.0,"['Oxides', 'Cuprates']",,,10.1088/0256-307x/26/1/017305
Y Ba 2 Cu 3 O 7,{},90.0,0.0,"['Oxides', 'Cuprates']",,,10.1088/0256-307x/26/1/017305
Y Fe 2 Ge 2,{},1.8,0.0,['Alloys'],,,10.1103/physrevlett.116.127001
Y Fe 2 Ge 2,{},1.8,0.0,['Alloys'],,,10.1103/physrevlett.116.127001
Bi 2 Sr 2 Ca Cu 2 O 8,{},91.0,0.0,[],,,10.1088/1674-1056/28/7/077403
Bi 2 Sr 2 Ca Cu 2 O 8,{},81.0,0.0,[],,,10.1088/1674-1056/28/7/077403
Bi 2 Sr 2 Ca Cu 2 O 8,{},81.0,0.0,[],,,10.1088/1674-1056/28/7/077403
Y Ba 2 Cu 3 O 7-δ,{'δ': []},92.0,0.0,"['Oxides', 'Cuprates']",crystal,,10.1063/1.1515098
H 3 S,{},203.0,150.0,[],,,nan
Rb 0.75 Fe 1.63 Se 2,{},30.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",single crys- tal,,10.1103/physrevb.84.094504
Rb 0.75 Fe 1.63 Se 2,{},30.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1103/physrevb.84.094504
K y Fe 1.6+x Se 2,"{'x': [], 'y': []}",30.0,0.0,['Alloys'],,,10.1103/physrevb.84.094504
Rb y Fe 1.6+x Se 2,"{'x': [], 'y': []}",30.0,0.0,['Alloys'],,,10.1103/physrevb.84.094504
Cs y Fe 1.6+x Se 2,"{'x': [], 'y': []}",30.0,0.0,['Alloys'],,,10.1103/physrevb.84.094504
Tl y Fe 1.6+x Se 2,"{'x': [], 'y': []}",30.0,0.0,['Alloys'],,,10.1103/physrevb.84.094504
Rb 0.75 Fe 1.63 Se 2,{},30.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1103/physrevb.84.094504
La Co 2 P 2,{},4.0,0.0,['Pnictides'],,,10.1103/physrevb.86.014503
La Co 1.73 Fe 0.27 B 2,{},4.1,0.0,"['Alloys', 'Borides']",single crystals,,10.1103/physrevb.86.014503
Ti,{},110.0,0.0,[],film,,10.1088/1361-6668/aa63bc
Ti,{},110.0,0.0,[],film,,10.1088/1361-6668/aa63bc
Ca Fe 2 As 2,{},42.7,0.0,"['Iron-pnictides', 'Pnictides']",single crystals,,10.1209/0295-5075/95/67002
La Fe As O 1-x F x,{'x': []},26.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1209/0295-5075/95/67002
Ca Fe 2 As 2,{},42.7,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1209/0295-5075/95/67002
Ca 0.8 La 0.2 Fe 2 As 2,{},42.7,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1209/0295-5075/95/67002
Ca Fe 2 As 2,{},42.7,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1209/0295-5075/95/67002
Ca 0.8 La 0.2 Fe 2 As 2,{},42.7,0.0,"['Iron-pnictides', 'Pnictides']",single crystals,,10.1209/0295-5075/95/67002
Pd H,{},1.0,0.0,"['Hydrides', 'Alloys']",,,10.1103/physrevb.100.024422
Y Ba 2 Cu 3 O 7,{},85.0,0.0,"['Oxides', 'Cuprates']",,,10.1103/physreva.99.023405
Pb,{},7.2,0.0,['Alloys'],,,10.1007/978-3-540-73253-2_21
Bi 2 Sr 2 Ca Cu 2 O 8+δ,{'δ': []},83.0,0.0,['Alloys'],,,10.1007/978-3-540-73253-2_21
Y Ba 2 Cu 3 O 7-δ,{'δ': []},63.0,0.0,"['Oxides', 'Cuprates']",,,10.1007/978-3-540-73253-2_21
Nd 0.8 Sr 0.2 Ni O 2,{},15.0,0.0,['Oxides'],thin film 7,,10.1103/physrevresearch.2.013214
Ru B 2,{},1.5,0.0,"['Alloys', 'Borides']",,,10.1103/physrevb.97.054506
